"OBJECTID,N,10,0","SOVEREIGNT,C,80","TYPE_,C,80","COUNTRY,C,80","FIRST_OFFI,C,80","SECOND_OFF,C,80","THIRD_OFFI,C,80","ENGLISH_FI,N,10,0","FRENCH_FIR,N,10,0","ARABIC_FIR,N,10,0","SPANISH_FI,N,10,0","PORTUGUESE,N,10,0","CHINESE_FI,N,10,0","RUSSIAN_FI,N,10,0","WORLD_LANG,C,80"
"22","Canada","Sovereign country","Canada","English","French","","1","1","0","0","0","0","0","English_French"
"17","Cape Verde","Sovereign country","Cape Verde","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"58","United Kingdom","Dependency","Cayman Islands","English","","","1","0","0","0","0","0","0","English"
"21","Central African Republic","Sovereign country","Central African Republic","French","Sangho","","0","1","0","0","0","0","0","French"
"210","Chad","Sovereign country","Chad","French","Arabic","Sara","0","1","1","0","0","0","0","French_Arabic"
"24","Chile","Sovereign country","Chile","Spanish","","","0","0","0","1","0","0","0","Spanish"
"25","China","Country","China","Standard Chinese or Mandarin","Regional Chinese","","0","0","0","0","0","1","0","Chinese"
"27","France","Dependency","Clipperton Island","French","","","0","1","0","0","0","0","0","French"
"15","Colombia","Sovereign country","Colombia","Spanish","","","0","0","0","1","0","0","0","Spanish"
"16","Comoros","Sovereign country","Comoros","Arabic","French","","0","1","1","0","0","0","0","French_Arabic"
"14","New Zealand","Dependency","Cook Islands","English","Cook Island Maori","","1","0","0","0","0","0","0","English"
"18","Costa Rica","Sovereign country","Costa Rica","Spanish","","","0","0","0","1","0","0","0","Spanish"
"98","Croatia","Sovereign country","Croatia","Croatian","","","0","0","0","0","0","0","0","Other"
"57","Cuba","Sovereign country","Cuba","Spanish","","","0","0","0","1","0","0","0","Spanish"
"60","Cyprus","Sovereign country","Cyprus","Greek","Turkish","","0","0","0","0","0","0","0","Other"
"61","Czech Republic","Sovereign country","Czech Republic","Czech","","","0","0","0","0","0","0","0","Other"
"12","Democratic Republic of the Congo","Sovereign country","Democratic Republic of the Congo","French","Lingala","","0","1","0","0","0","0","0","French"
"65","Denmark","Country","Denmark","Danish","English","","1","0","0","0","0","0","0","English"
"63","Djibouti","Sovereign country","Djibouti","French","Arabic","","0","1","1","0","0","0","0","French_Arabic"
"64","Dominica","Sovereign country","Dominica","English","","","1","0","0","0","0","0","0","English"
"66","Dominican Republic","Sovereign country","Dominican Republic","Spanish","","","0","0","0","1","0","0","0","Spanish"
"215","East Timor","Sovereign country","East Timor","Tetum","Portuguese","","0","0","0","0","1","0","0","Portuguese"
"68","Ecuador","Sovereign country","Ecuador","Spanish","Quechua","Indigenous","0","0","0","1","0","0","0","Spanish"
"69","Egypt","Sovereign country","Egypt","Arabic","","","0","0","1","0","0","0","0","Arabic"
"194","El Salvador","Sovereign country","El Salvador","Spanish","","","0","0","0","1","0","0","0","Spanish"
"89","Equatorial Guinea","Sovereign country","Equatorial Guinea","Spanish","French","","0","1","0","1","0","0","0","French_Spanish"
"70","Eritrea","Sovereign country","Eritrea","Tigrinya","Arabic","English","1","0","1","0","0","0","0","English_Arabic"
"72","Estonia","Sovereign country","Estonia","Estonian","","","0","0","0","0","0","0","0","Other"
"73","Ethiopia","Sovereign country","Ethiopia","Amharic","Indigenous","","0","0","0","0","0","0","0","Other"
"76","United Kingdom","Dependency","Falkland Islands","English","","","1","0","0","0","0","0","0","English"
"78","Denmark","Dependency","Faroe Islands","Faroese","Danish","","0","0","0","0","0","0","0","Other"
"79","Federated States of Micronesia","Sovereign country","Federated States of Micronesia","English","","","1","0","0","0","0","0","0","English"
"75","Fiji","Sovereign country","Fiji","English","Fijian","","1","0","0","0","0","0","0","English"
"74","Finland","Country","Finland","Finnish","Swedish","","0","0","0","0","0","0","0","Other"
"77","France","Country","France","French","","","0","1","0","0","0","0","0","French"
"125","France","Dependency","French Polynesia","French","Polynesian","","0","1","0","0","0","0","0","French"
"80","Gabon","Sovereign country","Gabon","French","","","0","1","0","0","0","0","0","French"
"87","Gambia","Sovereign country","Gambia","English","","","1","0","0","0","0","0","0","English"
"82","Georgia","Sovereign country","Georgia","Georgian","","","0","0","0","0","0","0","0","Other"
"62","Germany","Sovereign country","Germany","German","","","0","0","0","0","0","0","0","Other"
"84","Ghana","Sovereign country","Ghana","English","","","1","0","0","0","0","0","0","English"
"85","United Kingdom","Dependency","Gibraltar","English","","","1","0","0","0","0","0","0","English"
"90","Greece","Sovereign country","Greece","Greek","","","0","0","0","0","0","0","0","Other"
"92","Denmark","Country","Greenland","Greenlandic","Danish","","0","0","0","0","0","0","0","Other"
"91","Grenada","Sovereign country","Grenada","English","","","1","0","0","0","0","0","0","English"
"95","United States of America","Dependency","Guam","English","Chamorro","","1","0","0","0","0","0","0","English"
"94","Guatemala","Sovereign country","Guatemala","Spanish","","","0","0","0","1","0","0","0","Spanish"
"83","United Kingdom","Country","Guernsey","English","French","","1","1","0","0","0","0","0","English_French"
"86","Guinea","Sovereign country","Guinea","French","","","0","1","0","0","0","0","0","French"
"88","Guinea Bissau","Sovereign country","Guinea Bissau","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"93","Guyana","Sovereign country","Guyana","English","","","1","0","0","0","0","0","0","English"
"99","Haiti","Sovereign country","Haiti","French","Creole","","0","1","0","0","0","0","0","French"
"97","Honduras","Sovereign country","Honduras","Spanish","","","0","0","0","1","0","0","0","Spanish"
"96","China","Country","Hong Kong S.A.R.","Cantonese","English","","1","0","0","0","0","0","0","English"
"100","Hungary","Sovereign country","Hungary","Hungarian","","","0","0","0","0","0","0","0","Other"
"108","Iceland","Sovereign country","Iceland","Icelandic","","","0","0","0","0","0","0","0","Other"
"103","India","Sovereign country","India","Hindi","English","","1","0","0","0","0","0","0","English"
"101","Indonesia","Sovereign country","Indonesia","Bahasa Indonesia","","","0","0","0","0","0","0","0","Other"
"106","Iran","Sovereign country","Iran","Persian","","","0","0","0","0","0","0","0","Other"
"107","Iraq","Sovereign country","Iraq","Arabic","Kurdish","","0","0","1","0","0","0","0","Arabic"
"105","Ireland","Sovereign country","Ireland","English","","","1","0","0","0","0","0","0","English"
"102","United Kingdom","Country","Isle of Man","English","Irish","","1","0","0","0","0","0","0","English"
"109","Israel","Sovereign country","Israel","Hebrew","","","0","0","0","0","0","0","0","Other"
"110","Italy","Sovereign country","Italy","Italian","","","0","0","0","0","0","0","0","Other"
"26","Ivory Coast","Sovereign country","Ivory Coast","French","","","0","1","0","0","0","0","0","French"
"49","Jamaica","Sovereign country","Jamaica","English","","","1","0","0","0","0","0","0","English"
"111","Japan","Sovereign country","Japan","Japanese","","","0","0","0","0","0","0","0","Other"
"50","United Kingdom","Country","Jersey","English","","","1","0","0","0","0","0","0","English"
"51","Jordan","Sovereign country","Jordan","Arabic","","","0","0","1","0","0","0","0","Arabic"
"52","Kazakhstan","Sovereign country","Kazakhstan","Kazakh","Russian","","0","0","0","0","0","0","1","Russian"
"53","Kenya","Sovereign country","Kenya","English","Kiswahili","","1","0","0","0","0","0","0","English"
"56","Kiribati","Sovereign country","Kiribati","English","","","1","0","0","0","0","0","0","English"
"155","Kosovo","Sovereign country","Kosovo","Albanian","Serbian","","0","0","0","0","0","0","0","Other"
"156","Kuwait","Sovereign country","Kuwait","Arabic","","","0","0","1","0","0","0","0","Arabic"
"54","Kyrgyzstan","Sovereign country","Kyrgyzstan","Kyrgyz","Russian","","0","0","0","0","0","0","1","Russian"
"157","Laos","Sovereign country","Laos","Lao","","","0","0","0","0","0","0","0","Other"
"167","Latvia","Sovereign country","Latvia","Latvian","","","0","0","0","0","0","0","0","Other"
"162","Lebanon","Sovereign country","Lebanon","Arabic","","","0","0","1","0","0","0","0","Arabic"
"164","Lesotho","Sovereign country","Lesotho","Sotho","English","","1","0","0","0","0","0","0","English"
"158","Liberia","Sovereign country","Liberia","English","","","1","0","0","0","0","0","0","English"
"159","Libya","Sovereign country","Libya","Arabic","","","0","0","1","0","0","0","0","French"
"161","Liechtenstein","Sovereign country","Liechtenstein","German","","","0","0","0","0","0","0","0","Other"
"165","Lithuania","Sovereign country","Lithuania","Lithuanian","","","0","0","0","0","0","0","0","Other"
"166","Luxembourg","Sovereign country","Luxembourg","Luxembourgish","French","German","0","1","0","0","0","0","0","French"
"112","Macedonia","Sovereign country","Macedonia","Macedonian","Albanian","","0","0","0","0","0","0","0","Other"
"172","Madagascar","Sovereign country","Madagascar","French","Malagasy","","0","1","0","0","0","0","0","French"
"129","Malawi","Sovereign country","Malawi","English","","","1","0","0","0","0","0","0","English"
"130","Malaysia","Sovereign country","Malaysia","Bahasa Malaysia","","","0","0","0","0","0","0","0","Other"
"173","Maldives","Sovereign country","Maldives","Dhivehi","","","0","0","0","0","0","0","0","Other"
"113","Mali","Sovereign country","Mali","French","","","0","1","0","0","0","0","0","French"
"114","Malta","Sovereign country","Malta","Maltese","English","","1","0","0","0","0","0","0","English"
"175","Marshall Islands","Sovereign country","Marshall Islands","Marshallese","English","","1","0","0","0","0","0","0","English"
"120","Mauritania","Sovereign country","Mauritania","Arabic","","","0","0","1","0","0","0","0","Arabic"
"128","Mauritius","Sovereign country","Mauritius","French","English","","1","1","0","0","0","0","0","English_French"
"174","Mexico","Sovereign country","Mexico","Spanish","","","0","0","0","1","0","0","0","Spanish"
"171","Moldova","Sovereign country","Moldova","Moldovan","","","0","0","0","0","0","0","0","Other"
"170","Monaco","Sovereign country","Monaco","French","","","0","1","0","0","0","0","0","French"
"117","Mongolia","Sovereign country","Mongolia","Khalkha Mongol","","","0","0","0","0","0","0","0","Other"
"116","Montenegro","Sovereign country","Montenegro","Montenegrin","","","0","0","0","0","0","0","0","Other"
"127","United Kingdom","Dependency","Montserrat","English","","","1","0","0","0","0","0","0","English"
"169","Morocco","Sovereign country","Morocco","Arabic","","","0","0","1","0","0","0","0","Arabic"
"119","Mozambique","Sovereign country","Mozambique","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"115","Myanmar","Sovereign country","Myanmar","Burmanese","","","0","0","0","0","0","0","0","Other"
"131","Namibia","Sovereign country","Namibia","English","","","1","0","0","0","0","0","0","English"
"141","Nauru","Sovereign country","Nauru","Nauruan","","","0","0","0","0","0","0","0","Other"
"140","Nepal","Sovereign country","Nepal","Nepali","","","0","0","0","0","0","0","0","Other"
"138","Netherlands","Country","Netherlands","Dutch","","","0","0","0","0","0","0","0","Other"
"132","France","Dependency","New Caledonia","French","","","0","1","0","0","0","0","0","French"
"142","New Zealand","Country","New Zealand","English","Maori","","1","0","0","0","0","0","0","English"
"136","Nicaragua","Sovereign country","Nicaragua","Spanish","","","0","0","0","1","0","0","0","Spanish"
"133","Niger","Sovereign country","Niger","French","","","0","1","0","0","0","0","0","French"
"135","Nigeria","Sovereign country","Nigeria","English","","","1","0","0","0","0","0","0","English"
"137","New Zealand","Dependency","Niue","Niuean","English","","1","0","0","0","0","0","0","English"
"134","Australia","Dependency","Norfolk Island","English","","","1","0","0","0","0","0","0","English"
"121","North Korea","Sovereign country","North Korea","Korean","","","0","0","0","0","0","0","0","Other"
"59","Northern Cyprus","Sovereign country","Northern Cyprus","Turkish","","","0","0","0","0","0","0","0","Other"
"118","United States of America","Dependency","Northern Mariana Islands","Chamorro","English","","1","0","0","0","0","0","0","English"
"139","Norway","Sovereign country","Norway","Norwegian","","","0","0","0","0","0","0","0","Other"
"143","Oman","Sovereign country","Oman","Arabic","","","0","0","1","0","0","0","0","Arabic"
"144","Pakistan","Sovereign country","Pakistan","English","Urdu","","1","0","0","0","0","0","0","English"
"149","Palau","Sovereign country","Palau","English","Palauan","","1","0","0","0","0","0","0","English"
"124","Israel","Disputed","Palestine","Arabic","","","0","0","1","0","0","0","0","Arabic"
"145","Panama","Sovereign country","Panama","Spanish","","","0","0","0","1","0","0","0","Spanish"
"150","Papua New Guinea","Sovereign country","Papua New Guinea","Tok Pisin","English","Hiri Motu","1","0","0","0","0","0","0","English"
"123","Paraguay","Sovereign country","Paraguay","Spanish","Guarani","","0","0","0","1","0","0","0","Spanish"
"147","Peru","Sovereign country","Peru","Spanish","Quechua","Aymara","0","0","0","1","0","0","0","Spanish"
"148","Philippines","Sovereign country","Philippines","Filipino","English","","1","0","0","0","0","0","0","English"
"146","United Kingdom","Dependency","Pitcairn Islands","English","","","1","0","0","0","0","0","0","English"
"151","Poland","Sovereign country","Poland","Polish","","","0","0","0","0","0","0","0","Other"
"122","Portugal","Sovereign country","Portugal","Portuguese","Mirandese","","0","0","0","0","1","0","0","Portuguese"
"152","United States of America","Dependency","Puerto Rico","Spanish","English","","1","0","0","1","0","0","0","English_Spanish"
"126","Qatar","Sovereign country","Qatar","Arabic","","","0","0","1","0","0","0","0","Arabic"
"13","Republic of Congo","Sovereign country","Republic of Congo","French","Lingala","","0","1","0","0","0","0","0","French"
"199","Republic of Serbia","Sovereign country","Republic of Serbia","Serbian","","","0","0","0","0","0","0","0","Other"
"182","Romania","Sovereign country","Romania","Romanian","","","0","0","0","0","0","0","0","Other"
"183","Russia","Sovereign country","Russia","Russian","","","0","0","0","0","0","0","1","Russian"
"184","Rwanda","Sovereign country","Rwanda","Kinyarwanda","French","","0","1","0","0","0","0","0","French"
"4","France","Dependency","Saint Barthelemy","French","","","0","1","0","0","0","0","0","French"
"191","United Kingdom","Dependency","Saint Helena","English","","","1","0","0","0","0","0","0","English"
"153","Saint Kitts and Nevis","Sovereign country","Saint Kitts and Nevis","English","","","1","0","0","0","0","0","0","English"
"160","Saint Lucia","Sovereign country","Saint Lucia","English","","","1","0","0","0","0","0","0","English"
"168","France","Dependency","Saint Martin","French","","","0","1","0","0","0","0","0","French"
"198","France","Dependency","Saint Pierre and Miquelon","French","","","0","1","0","0","0","0","0","French"
"230","Saint Vincent and the Grenadines","Sovereign country","Saint Vincent and the Grenadines","English","","","1","0","0","0","0","0","0","English"
"177","Samoa","Sovereign country","Samoa","Samoan","","","0","0","0","0","0","0","0","Other"
"195","San Marino","Sovereign country","San Marino","Italian","","","0","0","0","0","0","0","0","Other"
"200","Sao Tome and Principe","Sovereign country","Sao Tome and Principe","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"186","Saudi Arabia","Sovereign country","Saudi Arabia","Arabic","","","0","0","1","0","0","0","0","Arabic"
"189","Senegal","Sovereign country","Senegal","French","","","0","1","0","0","0","0","0","French"
"207","Seychelles","Sovereign country","Seychelles","Creole","English","French","1","1","0","0","0","0","0","English_French"
"193","Sierra Leone","Sovereign country","Sierra Leone","English","","","1","0","0","0","0","0","0","English"
"190","Singapore","Sovereign country","Singapore","Standard Chinese or Mandarin","English","Malay","1","0","0","0","0","1","0","English_Chinese"
"206","Netherlands","Country","Sint Maarten","English","Dutch","","1","0","0","0","0","0","0","English"
"202","Slovakia","Sovereign country","Slovakia","Slovak","","","0","0","0","0","0","0","0","Other"
"203","Slovenia","Sovereign country","Slovenia","Slovenian","","","0","0","0","0","0","0","0","Other"
"192","Solomon Islands","Sovereign country","Solomon Islands","Melanesian pidgin","English","","1","0","0","0","0","0","0","English"
"197","Somalia","Sovereign country","Somalia","Somali","Arabic","","0","0","1","0","0","0","0","Arabic"
"196","Somaliland","Indeterminate","Somaliland","Somali","Arabic","English","1","0","1","0","0","0","0","English_Arabic"
"179","South Africa","Sovereign country","South Africa","Afrikaans","English","Indigenous","1","0","0","0","0","0","0","English"
"154","South Korea","Sovereign country","South Korea","Korean","","","0","0","0","0","0","0","0","Other"
"188","South Sudan","Sovereign country","South Sudan","English","","","1","0","0","0","0","0","0","English"
"71","Spain","Sovereign country","Spain","Spanish","","","0","0","0","1","0","0","0","Spanish"
"163","Sri Lanka","Sovereign country","Sri Lanka","Sinhala","","","0","0","0","0","0","0","0","Other"
"187","Sudan","Sovereign country","Sudan","Arabic","English","","1","0","1","0","0","0","0","English_Arabic"
"201","Suriname","Sovereign country","Suriname","Dutch","","","0","0","0","0","0","0","0","Other"
"205","Swaziland","Sovereign country","Swaziland","English","siSwati","","1","0","0","0","0","0","0","English"
"204","Sweden","Sovereign country","Sweden","Swedish","","","0","0","0","0","0","0","0","Other"
"23","Switzerland","Sovereign country","Switzerland","German","French","Italian","0","1","0","0","0","0","0","French"
"208","Syria","Sovereign country","Syria","Arabic","","","0","0","1","0","0","0","0","Arabic"
"221","Taiwan","Sovereign country","Taiwan","Standard Chinese or Mandarin","","","0","0","0","0","0","1","0","Chinese"
"212","Tajikistan","Sovereign country","Tajikistan","Tajik","","","0","0","0","0","0","0","0","Other"
"211","Thailand","Sovereign country","Thailand","Thai","","","0","0","0","0","0","0","0","Other"
"214","Togo","Sovereign country","Togo","French","","","0","1","0","0","0","0","0","French"
"216","Tonga","Sovereign country","Tonga","Tongan","English","","1","0","0","0","0","0","0","English"
"217","Trinidad and Tobago","Sovereign country","Trinidad and Tobago","English","","","1","0","0","0","0","0","0","English"
"218","Tunisia","Sovereign country","Tunisia","Arabic","","","0","0","1","0","0","0","0","Arabic"
"219","Turkey","Sovereign country","Turkey","Turkish","","","0","0","0","0","0","0","0","Other"
"213","Turkmenistan","Sovereign country","Turkmenistan","Turkmen","","","0","0","0","0","0","0","0","Other"
"209","United Kingdom","Dependency","Turks and Caicos Islands","English","","","1","0","0","0","0","0","0","English"
"220","Tuvalu","Sovereign country","Tuvalu","Tuvaluan","English","","1","0","0","0","0","0","0","English"
"223","Uganda","Sovereign country","Uganda","English","Swahili","","1","0","0","0","0","0","0","English"
"224","Ukraine","Sovereign country","Ukraine","Ukrainian","","","0","0","0","0","0","0","0","Other"
"36","United Arab Emirates","Sovereign country","United Arab Emirates","Arabic","","","0","0","1","0","0","0","0","Arabic"
"81","United Kingdom","Country","United Kingdom","English","","","1","0","0","0","0","0","0","English"
"222","United Republic of Tanzania","Sovereign country","United Republic of Tanzania","Swahili","English","","1","0","0","0","0","0","0","English"
"225","United States of America","Dependency","United States Minor Outlying Islands","English","","","1","0","0","0","0","0","0","English"
"227","United States of America","Country","United States of America","English","","","1","0","0","0","0","0","0","English"
"226","Uruguay","Sovereign country","Uruguay","Spanish","","","0","0","0","1","0","0","0","Spanish"
"228","Uzbekistan","Sovereign country","Uzbekistan","Uzbek","Karakalpakstani","","0","0","0","0","0","0","0","Other"
"234","Vanuatu","Sovereign country","Vanuatu","Creole","English","French","1","1","0","0","0","0","0","English_French"
"229","Vatican","Sovereign country","Vatican","Italian","Latin","French","0","1","0","0","0","0","0","French"
"231","Venezuela","Sovereign country","Venezuela","Spanish","","","0","0","0","1","0","0","0","Spanish"
"233","Vietnam","Sovereign country","Vietnam","Vietnamese","","","0","0","0","0","0","0","0","Other"
"176","France","Dependency","Wallis and Futuna","French","","","0","1","0","0","0","0","0","French"
"185","Western Sahara","Indeterminate","Western Sahara","Arabic","","","0","0","1","0","0","0","0","Arabic"
"178","Yemen","Sovereign country","Yemen","Arabic","","","0","0","1","0","0","0","0","Arabic"
"180","Zambia","Sovereign country","Zambia","English","","","1","0","0","0","0","0","0","English"
"181","Zimbabwe","Sovereign country","Zimbabwe","Shona","Ndebele","English","1","0","0","0","0","0","0","English"
